boundary_scope,risk_tier,blocks_release,requires_receipt,default_action,example_divergence
Security,Critical,yes,no,block,"Encryption algorithm mismatch between franken_engine and reference runtime"
Memory,High,yes,no,block,"Allocation strategy divergence causing different GC pressure"
Concurrency,High,yes,no,block,"Lock ordering disagreement between runtimes"
IO,Medium,no,no,warn,"File buffering strategy difference with equivalent semantics"
TypeSystem,Low,no,yes,receipt,"Numeric coercion rounding difference within tolerance"
Security,High,yes,no,block,"Permission check ordering divergence"
Memory,Medium,no,no,warn,"Cache eviction heuristic difference"
IO,Low,no,yes,receipt,"Newline normalization difference"
Concurrency,Medium,no,no,warn,"Thread pool sizing heuristic divergence"
TypeSystem,Info,no,no,record,"Whitespace handling in string serialization"
Security,Critical,yes,no,block,"Signature verification algorithm version mismatch"
Memory,Critical,yes,no,block,"Use-after-free detection divergence"
IO,High,yes,no,block,"File locking semantics incompatibility"
Concurrency,Critical,yes,no,block,"Deadlock detection algorithm mismatch"
TypeSystem,Medium,no,no,warn,"Generic type inference ambiguity"
